interface_or_capability,method,source_repo,source_pin,source_path,source_line,caller_surface,input_output_semantics,state_owner,authorization_boundary,reads_side_effects,subscriptions_callbacks,ordering_idempotency,target_disposition,compatibility_adapter,contract_or_parity_test,migration_dependency,review_status,notes
AuthenticatedApi,setBlueprintPinned,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,493,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),"(blueprintId, pinned) -> void; pinning a public blueprint not yet yours saves it to library first",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),writes pin (may implicitly add to library),none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,Implicit add-to-library side effect is easy to lose in a rewrite - parity-test it.
AuthenticatedApi,isBlueprintPinned,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,496,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(blueprintId) -> boolean,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,listFeaturedBlueprints,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,500,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),() -> BlueprintPublicInfo[]; deployment-featured; served from KV snapshot not AdminSettings DO,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only (KV),none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,Snapshot serving = eventual consistency vs admin edits; preserve.
AuthenticatedApi,addBlueprintToLibrary,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,504,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),"(blueprintId) -> void; by reference, caches current public metadata snapshot",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),writes library entry,none,re-add semantics unspecified - pin in test,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,removeBlueprintFromLibrary,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,508,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(blueprintId) -> void; if entry was user-uploaded also deletes backing blueprint content,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),deletes library entry (+ content if uploaded),none,destructive for uploads,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,Upload-vs-reference asymmetry matters: removing an upload destroys data.
AuthenticatedApi,isBlueprintInLibrary,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,512,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(blueprintId) -> {uploaded} | null,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,newGadgetFromBlueprint,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,522,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),"(blueprintId, bindings: Record<name, BlueprintBindingAssignment>) -> RpcStub<Overseer>; every required binding must be present; throws on missing/invalid accountId/modelId; reads KV + R2 code, creates Overseer DO + gatekeepers",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),creates workspace + gatekeepers,returns Overseer capability (pipelining-friendly),not idempotent,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,
AuthenticatedApi,deleteOrphanedBlueprint,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,529,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(blueprintId) -> void; works even when source gadget deleted (User DO + KV directly),User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),deletes blueprint,none,destructive,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,importBlueprint,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,533,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(archive: ReadableStream) -> blueprintId; imports .gadget archive as local blueprint owned by user,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),creates blueprint from stream,none,not idempotent (new id per call),preserve,none (kernel-native),contract:streaming,none,manually-reviewed,
AuthenticatedApi,reconnectAccount,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,538,5 FE refs incl. ConnectionChips + GatekeeperModal,(accountId) -> {url}; re-auth expired credentials; on completion subscribers see credentialsValid:true,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),starts OAuth flow,update via ConnectedAccountsSubscriber,new flow per call,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,listGatekeeperApps,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,545,useGatekeeperApps.ts,() -> GatekeeperAppInfo[]; gatekeepers exposing full-page management UI (nav entry + /gatekeepers/$id page each),User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,getGatekeeperApp,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,550,routes/gatekeepers_.$appId.tsx,(id) -> GatekeeperUiFrame | null; sandboxed iframe HTML + gatekeeper 'ui' capability over MessagePort RPC,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read; mints UI capability,frame speaks MessagePort RPC,new frame per call,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,
AuthenticatedApi,amIAdmin,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,556,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),() -> boolean; client uses to decide whether to render admin UI,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,getAdminApi,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,562,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),() -> RpcStub<AdminApi> | null (null for non-admin); THE admin access check happens here once,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),mints admin capability,returns AdminApi capability,idempotent,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,"Auth config (SSO providers, password login) deliberately NOT behind AdminApi - env-var driven."
AdminApi,getSettings,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,752,workshop-frontend AdminPage.tsx (routes/admin.tsx),"() -> AdminSettingsView (signups, siteName/logo, instanceInstructions, announcement, banner, accentColor, resourceVendors, formats) in one call",AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,setSignupsEnabled,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,755,workshop-frontend AdminPage.tsx (routes/admin.tsx),(enabled) -> void; existing users still log in while closed,AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes deployment setting,none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,setSiteName,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,759,workshop-frontend AdminPage.tsx (routes/admin.tsx),(name) -> void; '' resets to DEFAULT_SITE_NAME; rejects > MAX_SITE_NAME_LENGTH (40),AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes branding,none,idempotent write; validated,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,setSiteLogo,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,764,workshop-frontend AdminPage.tsx (routes/admin.tsx),"(PNG bytes | null=default) -> AvatarImage | undefined; server enforces PNG header, MAX_SITE_LOGO_BYTES 256KiB, MAX_SITE_LOGO_DIMENSION 512",AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes branding blob,none,idempotent write; validated,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,setInstanceInstructions,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,767,workshop-frontend AdminPage.tsx (routes/admin.tsx),(text) -> void; agent system-prompt instructions; '' clears; rejects > MAX_INSTANCE_INSTRUCTIONS_LENGTH (8000),AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes agent config,none,idempotent write; validated,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,Feeds every agent's system prompt - security-relevant admin surface.
AdminApi,setResourceEnabled,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,772,workshop-frontend AdminPage.tsx (routes/admin.tsx),"(vendorId, urlPattern, enabled) -> void; SOFT enforcement: hides from connect UI/picker/agent, does NOT revoke capabilities gadgets already hold",AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes resource policy,none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,Soft-disable semantics are deliberate; do not 'fix' into revocation.
AdminApi,setGatekeeperMode,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,779,workshop-frontend AdminPage.tsx (routes/admin.tsx),"(vendorId, mode: disabled|optional|enabled) -> void; ambient gatekeepers get 3-state, ordinary ones reject 'optional'; disabled leaves ambient data dormant not deleted",AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes vendor policy,none,idempotent write; validated,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,setAnnouncement,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,783,workshop-frontend AdminPage.tsx (routes/admin.tsx),(text) -> void; top-bar notice; '' clears; rejects > MAX_ANNOUNCEMENT_LENGTH (2000),AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes deployment notice,none,idempotent write; validated,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,setBanner,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,787,workshop-frontend AdminPage.tsx (routes/admin.tsx),"(text, BannerColor) -> void; full-width banner; empty text hides; validates color + length",AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes deployment banner,none,idempotent write; validated,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,setAccentColor,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,791,workshop-frontend AdminPage.tsx (routes/admin.tsx),(hex|'' ) -> void; validated 3/6-digit hex (isHexColor prevents CSS injection),AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes theme,none,idempotent write; validated,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,isBlueprintFeatured,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,795,workshop-frontend AdminPage.tsx (routes/admin.tsx),(blueprintId) -> boolean | null (null = not featurable),AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,setBlueprintFeatured,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,798,workshop-frontend AdminPage.tsx (routes/admin.tsx),"(blueprintId, featured) -> void; also mirrors into KV snapshot read by listFeaturedBlueprints",AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes curation + KV mirror,none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,promoteFormat,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,809,workshop-frontend AdminPage.tsx (routes/admin.tsx),(blueprintId) -> void; adds blueprint as standard format appended last; throws if blueprint missing; re-promoting existing leaves curation alone (repairs failed mirror write),AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes format list + mirror,none,EXPLICITLY idempotent/repair-safe (documented),preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,Retry-repairs failed mirror write - keep this exact semantics.
AdminApi,removeFormat,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,817,workshop-frontend AdminPage.tsx (routes/admin.tsx),(blueprintId) -> void; forgets curation; REFUSED for bundled blueprints (use enabled:false instead),AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes format list,none,destructive for curation; guarded for bundled,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,updateFormat,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,821,workshop-frontend AdminPage.tsx (routes/admin.tsx),"(blueprintId, AdminFormatPatch) -> void; partial: absent fields unchanged; agentHint '' clears; overrides field null reverts to blueprint declaration",AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes curation,none,idempotent patch,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AdminApi,setFormatOrder,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,824,workshop-frontend AdminPage.tsx (routes/admin.tsx),(blueprintIds) -> void; must be a permutation of currently promoted ids,AdminSettings DO (admin-settings.ts AdminApiImpl),deployment admin; access checked ONCE when getAdminApi mints the stub - no per-call re-check,writes menu order,none,idempotent write; validated permutation,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
CodeSubscriber,update,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1186,server->client push; GadgetCodeInterface.tsx implements,"(CodeUpdate {version-after, timestamp, Yjs V2 update blob}) -> void; server may send several rapid calls without awaiting; subscriber MUST apply or queue synchronously to keep order",client (callback target),stub passed to Overseer.subscribeToCode,client applies Yjs update,callback (server->client),in-order delivery guaranteed by Cap'n Web; synchronous handling REQUIRED (documented),preserve,none (kernel-native),parity:subscription-replay,none,manually-reviewed,Yjs V2 encoding is part of the wire contract.
CodeSubscriber,ready,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1190,server->client push; GadgetCodeInterface.tsx implements,() -> void; first time subscriber is up-to-date with latest server version,client (callback target),stub passed to Overseer.subscribeToCode,client loading-state flip,callback (server->client),"once, after catch-up",preserve,none (kernel-native),parity:subscription-replay,none,manually-reviewed,
Overseer,getMetadata,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1296,workshop-frontend workspace editor (routes/workspace.$id.tsx + ChatInterface/GadgetCodeInterface/ShareModal etc; grep-verified),"() -> GadgetMetadata (id, title, totalCost, pinned, owner?, role?, sharingProhibited?, defaultGadgetId?)",Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
Overseer,subscribeToMetadata,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1304,workshop-frontend workspace editor (routes/workspace.$id.tsx + ChatInterface/GadgetCodeInterface/ShareModal etc; grep-verified),(callback: RpcStub<(metadata)=>void>) -> RpcStub<{}> handle; callback fired once immediately with current value then on every change; dispose handle to cancel,Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,read + subscription,anonymous function-typed callback (see separate capability row),immediate initial call then in-order updates,preserve,none (kernel-native),parity:subscription-replay,none,manually-reviewed,
Overseer,subscribeToMetadata.callback,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1305,server->client push; workspace shell metadata (title/pin/cost) display,ANONYMOUS CALLABLE: (metadata: GadgetMetadata) => void; client-implemented function stub invoked by server,Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,client-side state update,callback (server->client); function-typed - NOT a named interface,"called once immediately on subscribe, then per change, in order",preserve,none (kernel-native),parity:subscription-replay,none,manually-reviewed,"MISSED BY MECHANICAL PARSER (bare arrow type, api.ts:1305). Only anonymous callable in the file."
Overseer,subscribeToPresence,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1310,components/GadgetPresence.tsx,(PresenceSubscriber) -> handle; roster init then add/remove; viewer present for lifetime of openGadget session,Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,read + subscription,PresenceSubscriber callbacks,init-then-incremental; in-order,preserve,none (kernel-native),parity:subscription-replay,none,manually-reviewed,
Overseer,setTitle,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1313,workshop-frontend workspace editor (routes/workspace.$id.tsx + ChatInterface/GadgetCodeInterface/ShareModal etc; grep-verified),(title) -> void; workspace title,Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,writes metadata,none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
Overseer,setPinned,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1316,workshop-frontend workspace editor (routes/workspace.$id.tsx + ChatInterface/GadgetCodeInterface/ShareModal etc; grep-verified),(pinned) -> void; pin workspace in user's list,Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,writes per-user pin,none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
Overseer,deleteSelf,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1322,workshop-frontend workspace editor (routes/workspace.$id.tsx + ChatInterface/GadgetCodeInterface/ShareModal etc; grep-verified),"() -> void; delete workspace + all data, remove from list; further calls fail (undelete TODO)",Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,destroys DO state,none,destructive; terminal,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
Overseer,subscribeToWorkpieces,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1331,workshop-frontend workspace editor (routes/workspace.$id.tsx + ChatInterface/GadgetCodeInterface/ShareModal etc; grep-verified),"(WorkpiecesSubscriber) -> handle; entry() per existing workpiece, ready(), then incremental entry()/removed(); v1 delivers gadget-type only",Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,read + subscription,WorkpiecesSubscriber callbacks,replay-then-ready; in-order,preserve,none (kernel-native),parity:subscription-replay,none,manually-reviewed,
Overseer,createGadget,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1348,backend agent createGadget tool (8 BE refs); no direct FE caller (FE renders the tool record),"(title required, chatId?, bindingName?) -> RpcStub<GadgetClient>; with chatId creation is provisional to that chat (merge makes permanent, revert deletes); bindingName validated/unique else server derives from title (quick model or fallback); throws on name collision incl. names pending in other chats",Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,creates gadget workpiece (possibly provisional),returns GadgetClient capability,not idempotent; name-collision throws,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,Provisional-to-chat lifecycle shared with code changes - parity test with merge/revert.
Overseer,getGadget,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1353,workshop-frontend workspace editor (routes/workspace.$id.tsx + ChatInterface/GadgetCodeInterface/ShareModal etc; grep-verified),(WorkpieceId) -> RpcStub<GadgetClient>; throws if missing (pipelining-friendly),Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,read; mints capability,returns GadgetClient capability,idempotent,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,
Overseer,subscribeToCode,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1366,GadgetCodeInterface.tsx,"(CodeSubscriber, fromVersion?) -> handle; one Yjs doc per workspace, per-workpiece root Y.Map (WorkpieceSummary.filesRoot); updates whole-doc, may span workpieces; omit/0 fromVersion = full download",Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,read + subscription,CodeSubscriber callbacks,in-order; resumable via fromVersion,preserve,none (kernel-native),parity:subscription-replay,none,manually-reviewed,
Overseer,updateCode,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1372,GadgetCodeInterface.tsx,"(Yjs V2 update, chatId?) -> void; no chatId = committed mainline; with chatId = live draft edit on that chat's branch",Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,writes code doc (mainline or draft layer),fan-out to CodeSubscribers/AiChatSubscriber.draftUpdate,CRDT merge - commutative/idempotent at Yjs level; branch routing by chatId is load-bearing,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
Overseer,getGatekeeperById,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1375,backend agent paths (2 BE refs); no direct FE caller found,(WorkpieceId) -> GatekeeperClient<any>; throws if missing,Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,read; mints capability,returns GatekeeperClient capability,idempotent,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,
Overseer,newGatekeeper,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1385,workshop-frontend workspace editor (routes/workspace.$id.tsx + ChatInterface/GadgetCodeInterface/ShareModal etc; grep-verified),"(accountId, resourceUrl) -> GatekeeperClient<any> | null; workspace-level workpiece, NOT auto-bound into any gadget env (use GadgetClient.bind*)",Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,creates gatekeeper (connection),returns capability,not idempotent,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,
Overseer,newAiModelGatekeeper,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1389,workshop-frontend workspace editor (routes/workspace.$id.tsx + ChatInterface/GadgetCodeInterface/ShareModal etc; grep-verified),(modelId from listModels) -> GatekeeperClient<any>,Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,creates AI-model gatekeeper,returns capability,not idempotent,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,
Overseer,newAgentSpawnerGatekeeper,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1393,workshop-frontend workspace editor (routes/workspace.$id.tsx + ChatInterface/GadgetCodeInterface/ShareModal etc; grep-verified),"(AgentSpawnerConfig {displayName, modelId|null, env: name->WorkpieceId}) -> GatekeeperClient<any>; lets gadget spawn agent chats; env snapshotted per spawn",Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,creates spawner gatekeeper,returns capability,not idempotent,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,env entries deliberately not limited to gadget-held bindings.
Overseer,listActions,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,1397,backend only (2 refs); FE deliberately uses subscribeToActions to avoid stale-race (useActions.ts comment),() -> ActionLogEntry[]; full history (pagination TODO),Overseer DO - one per workspace (overseer.ts OverseerClientInterface),workspace collaborator capability from openGadget; role-gated: UseOverseerInterface (overseer.ts:8767) default-denies everything not allowed to 'use' role,read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
